fr	br	galo	eo	en
Le Brest Open 2024 aura lieu dans la grande salle du Patronage Laïque Municipal Sanquer situé au 26, rue Choquet de Lindu à Brest. L'accès se fera par la rue Richelieu (accès tout public + PMR).	E sal vras Patronaj Laik Kêr Sanker (26 straed Choquet de Lindu) 'vo aozet ar Brest Open 2024. Dre ar straed Richelieu e vo an antre (dre vras + evit an dud ampechet).	Le Brest Open 2024 sera den la grande sale du Patrônaje Laiqe Municipâ Sanquer q'ét a l'aderce 26 rue Choquet de Lindu a Brest. Pour aler en deden faora s'en veni par la rue Richelieu (pour les siens en jénérâ e etout pour les siens handicapë).	La Brest Open 2024 okazos en la granda ĉambro de la Municipa Laika Mecenateco Sanquer kiu estas je la 26 strato Choquet de Lindu en Bresto. La enirejo estos je la strato Richelieu (por la ĝenarala publiko kaj por handikapuloj).	The Brest Open 2024 will take place in the large hall of the Patronage Laïque Municipal Sanquer at 26, rue Choquet de Lindu in Brest. Access will be via rue Richelieu (general public access + PRM).
Voir l'accès sur la carte	Sellet ouzh ar gartenn	Vaer su la carte	Vidi la mapon	See the map
Voici deux propositions pas très loin :	Setu daou ginnig a-dost :	Vaici deûz chouéz pas ghère lein:	Jen du proponoj ne malproksime:	Here are two suggestions not far away:
Au port de Brest : l'hotel ibis Budget	E porzh Brest : an ibis Budget hotel	Den le port de Brest: l'ôtelle ibis Budget	En la haveno de Brest: la hotelo ibis Budget	In the port of Brest: the ibis Budget hotel
Le mythique hotel Vauban et sa salle de concert	Ar mojennel hotel Vauban hag he sal sonadegoù	L'ôtelle de legende: l'ôtelle Vauban e sa sale de concert	La legenda hotelo Vauban kaj ĝia koncertejo	The legendary Hotel Vauban and its concert hall
un peu plus loin au port de plaisance, l'Auberge de Jeunesse :	un tamm pelloc'h er porzh diduiñ, an herberc'h yaouankiz:	un petit pus lein den le port de pllézance, l'aoberje de jieunesse	iom pli for ĉe la jaĥt-haveno, la Junulara Gastejo:	a little further on at the marina, the Youth Hostel.
N'hésitez pas à rechercher sur des sites comme booking.com	Gallout a rez ivez klask war lec'hiennoù evel booking.com	Vous pouéz cercher etout su des empllâs come booking.com.	Ne hezitu serĉi en retejoj kiel booking.com	Don't hesitate to search on sites such as booking.com
Nous organisons une buvette :	Ur gaborellig/evlec'hig a vo gant:	Je proposerons ene buvette:	Ni organizas trinkejeton:	We are organising a refreshment bar:
Café,	Kafe,	Cafë	Kafo,	Coffee,
Thé,	Te,	Të	Teo,	Tea,
Eau à volonté,	Dour forzh pegement,	Iao aotant qe vous vouléz	Akvo laŭplaĉe,	Water as much as you like,
Softs (Colas, jus de fruits, etc.)	Evajoù hep alkool (Kolaoù, chugoù frouezh, h.a.)	Baissons sen alcol (colas, jus de frut, e je ses-ti core)	Nealkoholaĵoj (kolaoj, fruktosukoj, ktp.)	Softs (Colas, fruit juices, etc),
Grignotage :	Da grignat:	Du cai a roucher:	Manĝetoj:	Nibbles:
Crêpes de froment (beurre-sucre, confiture, chocolat),	Krampouezh gwinizh (amann-sukr, koñfitur, chokolad),	Crépes (beure-sucr, confiture, chicolat)	Tritikaj krespoj (butero-sukero, marmelado, ĉokolado),	Wheat pancakes (butter-sugar, jam, chocolate),
Fruits de saison	Frouezh eus ar mare	Fruts de sézon	Sezonaj fruktoj	Seasonal fruit
Il y a une petite épicerie à 100m de la salle.	Emañ un ispiserezhig 100m diouzh ar sal.	Vous pouéz terouer etout ene petite boutiqe (un "petit marchë") a 100m de la sale.	Estas malgranda vendejo 100 m for de la ĉambro.	There is a small grocery shop 100m from the venue.
L'organisation est assurée en partenariat avec l'association Dézépions.	L'organisation est assurée en partenariat avec l'association Dézépions.	La course-li ét menée de coterie d'o la souéte Dézépions.	Ni kunlaboras kun la asocio Dézépions por organizi tiun konkurson.	The event is organised in partnership with the Dézépions association.
Les personnes sur la liste d’attente peuvent être acceptées jusqu’à la date limite indiquée dans les conditions d’inscription.	An dud hag a zo war ar roll gortoz a c'hall bezañ degemeret betek an deiziad merket er c'hondisionoù enskrivañ.	Les siens su la list d'espair peûvent étr prinz den la métr-list diq'ao jou marqë den les conditions d'enlistement.	Tiuj kiuj estas en la atendolisto povas esti akceptitaj ĝis la limdato indikita en la registriĝaj postuloj.	People on the waiting list can be accepted until the deadline indicated in the registration conditions.
Toute personne acceptée sur la liste principale depuis la liste d'attente après la date limite de remboursement ne pourra pas être remboursée si elle ne peut finalement pas se rendre à la compétition.	Ne vo ket posubl adtapout hoc'h arc'hant ma vez kadarnaet hoc'h enskrivadur goude deiz diwezhañ ar prantad dastaladur ma ne c'hellit ket mont d'ar genstrivadeg a-benn ar fin.	Vous ne sérez pouint remboursê si qe vous étes prinz den la métr-list aprés la date du bout des remboursements si qe vous pouéz pouint veni.	Ĉiu kiu estas akceptita sur la ĉefa listo el la atendolisto post la repaga limdato ne povos esti repagata se ili finfine ne povas veni al la konkurson.	Any competitor accepted on the main list from the waiting list after the deadline for reimbursement will not be refunded if they can not go to the competition.
Les inscriptions sur place ne seront acceptées que dans le cas suivant : au moins une place est disponible sur la liste des compétiteurs au moment de la fermeture des inscriptions.	Ne vo degemeret an enskrivadurioù war al lec'h nemet ma vez ur plas dieub da nebeutañ war roll ar genstriverien da goulz fin an enskrivadurioù.	Ela sera possibl de s'enlister su pllâce seulement si ao meins ene pllâce ét libr su la list des siens qi sont enlistës cant qe j'arivons a la date du bout des enlistements.	Surlokaj registriĝoj estos akceptitaj nur en la sekva kazo: almenaŭ unu loko disponeblas en la listo de konkursantoj je la momento de la fermiĝo de registriĝoj.	On the spot registrations will only be accepted if at least one spot is available on the list of competitors at the time registrations close.
