key	fr	galo	br	en	eo
covid19-1	En raison de l'évolution de la situation sanitaire et des mesures gouvernementales, des changements sont prévus par rapport à une compétition normale. L'équipe organisatrice se conformera aux règles en vigueur sur le territoire français et sur la commune de Carquefou à la date de la compétition. Ceci peut inclure (mais n'est pas limité à) :	A rézon qe n-i a le covid, la course-la sera pouint de méme qe les aotr fais un p'tit. L'eqhipe de menerie sieura les louais qi seront a sieudr en France e a Carqefou. Le cai q'i pouraet étr demandë (meins pâs seulement) :	Cheñchamantoù zo gortozet e-keñver ur genstrivadeg kustum abalamour d'ar c'hovid. Heuliet 'vo reolennoù kovid Bro-C'hall ha Kerc'hfaou. Ar reolennoù a c'hallo bezañ (n'eo ket ul listenn glok):	Due to the changing health situation and government measures, changes are expected from normal competition. The organizing team will comply with the rules in force on French territory and in the town of Carquefou on the date of the competition. This may include (but is not limited to):	Pro la evoluanta sansituacio kaj registaraj mezuroj, ŝanĝoj estas atendataj rilate al normalaj konkursoj. La organiza teamo observos la regulojn validajn sur franca teritorio kaj en la municipo de Carquefou je la dato de la konkurso. Ĉi tio povas inkluzivi (sed ne estas limigitaj al):
covid19-2	Le port du masque dans la salle ;	Mettr un masqe su la goule	Gwiskañ maskloù e-barzh ar sal	Wearing a mask in the room;	Porti maskon en la konkursejo;
covid19-3	Le respect strict des gestes barrières ;	Sieudr les jestes pour s'entr-garder	Doujañ ouzh ar jestroù herzel	Strict respect for barrier gestures;	Strikta respekto de baraj gestoj;
covid19-4	La présentation d'un pass vaccinal ou sanitaire ;	Montrer un pass de piqhure ou de santë	Diskouez ur pass vaksinel pe yec'hedel	Presentation of a vaccination or health pass;	Prezenti vakcinan aŭ sanitaran pason;
covid19-5	La nécessité de manger ou boire en dehors de la salle.	Baire et manjer en dehôr de la sale	Debriñ pe evañ er-maez eus ar sal	The need to eat or drink outside the room.	Manĝi aŭ trinki ekster la konkursejo.
covid19-6	L'accès à la salle ne sera évidemment pas possible si vous êtes positif au COVID-19 ou cas contact sans preuve d'un test négatif récent.	Ao câs qe v'avéz le covid ou qe v'etes câs touche (e qe v'avéz pouint de preuve qe v'avéz pouint le covid), i n'sera pouint possibl d'entrer den la sale seben.	Evel-just, ne c'helloc'h ket mont e-barzh ar sal ma pozitivel gant ar c'hovid pe darempred kontammiñ hep prouad negativel.	Access to the room will obviously not be possible if you are positive for COVID-19 or contact cases without proof of a recent negative test.	Aliro al la konkursejo evidente ne eblos se vi estas pozitiva al KOVIM-19 aŭ kontaktokazo sen pruvo de lastatempa negativa testo.
covid19-7	Soyez attentifs aux e-mails de l'équipe d'organisation concernant les mesures définitives à respecter pour votre venue.	Regardez bel e ben les messaijes envouayës o l'eqhipe de menerie a sour fin de savair les louais q'i seront a sieudr.		Pay attention to emails from the organisation team regarding the final measures to be followed for your visit.	Atentu retmesaĝojn de la organiza teamo pri la finaj mezuroj sekvataj.
covid19-8	Si c'est votre première compétition, ne paniquez pas le tutoriel vous expliquera le déroulement de la compétition.	Ao câs qe la course-la ét votr permiere, durez don tranqhile, raport qe tout le cai a savair sera esplliqë.	Ma'z eo ar genstrivadeg kentañ evidoc'h, arabat pennfolliñ rak pep tra 'vo displeget deoc'h e-pad an tutoriel.	If this is your first competition, do not panic the tutorial will explain the course of the competition.	Se ĉi tio estas via unua konkurso, ne paniku, la instru-momenton klarigos kiel okazos la konkurso.
covid19-9	Nous demandons également à tout le monde d'assister au tutoriel.	Je demandons a tertout de veni vaer l'espllicacion.	Goulenn a reomp gant an holl dud mont da welet an tutoriel.	We are also asking everyone to attend the tutorial.	Ni ankaŭ petas ĉiujn ĉeesti la instru-momenton.
covid19-10	Des lingettes et du gel hydroalcooliques seront disponibles à plusieurs endroits dans la salle.	N-i ara du papië pour laver e du mélayaije d'iao e d'alcol den puzieurs endrets de la sale.	Paper digontammer ha jel hidroalkoolek 'vo e servij-libr e meur a lec'h e-barzh ar sal.	Wet wipes and gel will be available at several locations in the room.	Viŝtukoj kaj hidralkoholaj ĝelo estos disponeblaj en pluraj lokoj en la konkursejo.
nouveaux-1	Si c'est votre première compétition, voici ce que vous devez savoir :	Ao câs qe la course-la ét votr permiere, le cai qe n-i a savair ét qe :	Ma'z eo ho kenstrivadeg kentañ, gwell' eo deoc'h gouzout un toulladig traoù:	If it's gonna be your first competition, here's what you need to know:	Se tiu konkurso estos via unua, jen kion vi devas scii:
nouveaux-2	Vous devez vous inscrire ou vous connecter sur le site de WCA.	V'éz de v'enlister ou de v'abouter su l'emplla internet de la WCA.	Ret eo deoc'h krouiñ ur gont pe kennaskañ war lec'hienn ar WCA.	You must register or login on the WCA website.	Vi devas registriĝi aŭ ensaluti en la retejo de la WCA.
nouveaux-3	Vous devez vous inscrire à la compétition (sur la page de la compétition, onglet "S'inscrire").	V'éz de v'enlister a la course (su la paije de la course den l'endret "S'enlister" ("S'inscrire" ou "Register").	Ret eo deoc'h lakaat hoc'h anv er genstrivadeg (war pajenn ar genstrivadeg, ivinell "S'inscrire" pe "Register").	You must register to the competition (tab "Register" on the competition page).	Vi devas registriĝi en la konkurso (langeto "Registriĝi" en la konkursa paĝo).
