galo	br	fr	eo	en
Coment veni	Dont amañ	Accès à la salle		Getting there
Manjerie	Boued	Repas		Lunch
Pârains	Kevelerien	Partenaires		Partners
Fezûres en dret	Disoc'hioù war-eeun	Résultats en direct		Live results
Chârte	Karr-tan	Voiture	Aŭto	Car
Ét la maniere la pûs ézée pou veni	Dont gant ho karr-tan eo ar moaien an aesañ.	C'est le moyen le plus simple de venir	Tio estas la plej facila maniero por veni	It's the easiest way to come
GPS :	GPS :	GPS :	GPS:	GPS:
OpenStreetMap : ecrivéz "salle du Gaverlay" ou ben tiqéz ilë	OpenStreetMap : enaouit "salle du Gaverlay" pe klikit amañ	OpenStreetMap : entrez "salle du Gaverlay" ou cliquez ici	OpenStreetMap: enigu "salle du Gaverlay" aŭ alklaku ĉi tie	OpenStreetMap: enter "salle du Gaverlay" or click here
Google Maps : Google Maps n'a pouint qenessance du nom de la sale-li. Vous pouéz tiqer ilë ou ben ecrire "17 rue du stade, Plouvara" (ela sera pouint ghère lein)	Google Maps : anv ar sal n'eo ket anavezet gant Google Maps. Neuze, gallout a rit klikañ amañ pe enaouiñ "17 rue du stade, Plouvara". Tost a-walc'h e vo emichañs.	Google Maps : le nom de la salle n'étant pas reconnu par Google Maps, vous pouvez soit directement cliquer sur ce lien soit entrer "17 rue du stade, Plouvara", ce qui devrait suffisament proche	Google Maps: la nomo de la ejo ne estas rekonita de Google Maps, vi povas aŭ rekte alklaki ĉi tiu ligo aŭ enigi "17 rue du Stade, Plouvara", kiu devus esti sufiĉe proksima	Google Maps: the name of the room not being recognized by Google Maps, you can either directly click on this link or enter "17 rue du Stade, Plouvara", which should be close enough
Bus	Karr-boutin	Bus	Buso	Bus
N-n i a ene arêta de busse BreizhGo a 500 metr de la sale meins le busse-la ne vient pouint hardi de fais châqe jou.	Ez eus un arsav karr-boutin BreizhGo 500 metr eus ar sal met dont a ra ar c'harr-boutin un nebeud gwech bep devezh hepken.	Il y a un arrêt de bus BreizhGo à 500 mètres de la salle mais il n'y a pas beaucoup de passages chaque jour.	Estas BreizhGo-bushaltejo 500 metroj for de la konkursejo sed la buso ne multe venas.	There is a BreizhGo bus stop 500 meters from the venue, but there are not many trips every day.
Depés Saint-Berieu : busse BreizhGo 6 devère Lannion, arêta "Centre Plouvara" (vous pouéz fére votr trajet o Korrigo ou vaer les oures su l'emplla a BreizhGo)	Eus Sant-Brieg: karr-boutin 6 da Lannuon, arsav "Centre Plouvara" (gallout a rit sellet ouzh ho roud war lec'hienn Korrigo pe ar fichenn eurioù war lec'hienn BreizhGo)	Depuis Saint-Brieuc : bus 6 en direction de Lannion, arrêt "Centre Plouvara" (vous pouvez faire votre itinéraire avec Korrigo ou voir les horaires sur le site de BreizhGo)	El Saint-Brieuc: buso 6 direkte al Lannion, haltejo "Centre Plouvara" (vi povas kontroli vian itineron per Korrigo aŭ vidi la horarojn en la retejo de BreizhGo).	From Saint-Brieuc: bus 6 in the direction of Lannion, stop "Centre Plouvara" (you can make your itinerary with Korrigo or see the timetables on the website of BreizhGo).
Depés Ghingan (Gwengamp) ou Lannuon : busse BreizhGo 6 devère Saint-Berieu, arêta "Centre Plouvara" (vous pouéz fére votr trajet o Korrigo ou vaer les oures su l'emplla a BreizhGo)	Eus Gwengamp pe Lannuon: karr-boutin BreizhGo 6 da Sant-Brieg, arsav "Centre Plouvara" (gallout a rit sellet ouzh ho roud war lec'hienn Korrigo pe ar fichenn eurioù war lec'hienn BreizhGo)	Depuis Guingamp ou Lannion : bus 6 en direction de Saint-Brieuc, arrêt "Centre Plouvara" (vous pouvez faire votre itinéraire avec Korrigo ou voir les horaires sur le site de BreizhGo)	El Guingamp aŭ Lannion: buso 6 direkte al Saint-Brieuc, haltejo "Centre Plouvara" (vi povas kontroli vian itineron per Korrigo aŭ vidi la horarojn en la retejo de BreizhGo).	From Guingamp or Lannion: bus 6 towards Saint-Brieuc, "Centre Plouvara" stop (you can make your itinerary with Korrigo or see the timetables on the website of BreizhGo).
Bétôt	Diwezatoc'h	Bientôt	Poste	Later
La course-ci ét possibl grace a l'apouyâ de la Souéte de Qhube du Gouelo	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Gevredigezh Diñs Bro-Oueloù	Cette compétition est soutenue et organisée par l'Association de Cube du Goëlo	La Gouela Kuba Asocio ebligas tiun konkurson	The Gouelo Cube Associtaion makes this competition possible
