fr	br	galo	eo	en
Si vous arrivez à la gare de Saint-Malo, il existe 2 bus en direction de Saint-Méloir-des-Ondes: la ligne 13 (horaires ici) et la ligne 14 (horaires ici).	Ma erruit e ti-gar Sant-Maloù ez eus 2 c'harr-boutin war-zu Sant-Meleg-ar-Mor : linenn 13 (euriadurioù amañ) ha linenn 14 (euriadurioù amañ).	Ao cas qe v'arrivéz a la gare de Saint-Malo, i n-n'a deûz busses pour aler vers Saint-Melai: la line 13 (oures ilë) e la line 14(oures ilë).	Se vi alvenas al la stacidomo Saint-Malo, estas 2 busoj kiuj iras al Saint-Méloir-des-Ondes: linio 13 (horaroj ĉi tie) kaj linio 14 (horaroj ĉi tie).	If you arrive at Saint-Malo train station, there are 2 buses to Saint-Méloir-des-Ondes: line 13 (timetable here) and line 14 (timetable here).
Ici vous pourrez trouver les tarifs des tickets de bus.	Amañ e c'hallit kavout prizioù ar bilhedoù bus.	Ilë vous pouéz terouer les priz pour ejeter les billets de busses.	Ĉi tie vi povas trovi la prezojn de busbiletoj.	Here you can find bus fares.
La salle de la compétition se trouve dans le centre du bourg de Saint-Méloir-des-Ondes. Juste à côté, se trouve un grand parking. Pour rentrer dans la salle, il y aura une porte d'entrée a gauche, sur le côté.	E kreiz-kêr Sant-Meleg-ar-Mor emañ lec'h ar genstrivadeg. E-kichen emañ ur parklec'h bras. Evit mont e-barzh ar sal e vo un nor a-gleiz, a-gostez.	La sale de la course ét den le centre du boure de Saint-Melai. És ebords i n-n'a un grand parking. Pour aller en-dedans la sale, n-i ara ene us su la gaoche, su le côtë.	La konkursejo situas en la centro de la urbo Saint-Méloir-des-Ondes/Saint-Melai. Tuj apude estas granda parkejo. Por eniri la konkursejon, estos enirpordo maldekstre, flanke.	The competition hall is located in the center of Saint-Méloir-des-Ondes. There is a large parking lot next door. To enter the hall, there will be an entrance door on the left, on the side.
Commandes à effectuer ici avant le mardi 19 novembre 23h59 : https://commande-utile.mycomp.fr/	Ret eo urzhiadiñ amañ a-raok ar Meurzh 19 a viz Gwengolo da 11e59 g.m.: https://commande-utile.mycomp.fr/	Vous pouéz qemander ilë diq'ao mardi 19 du mouéz de novembr a 11e59 ao sair: https://commande-utile.mycomp.fr/	Vi povas mendi manĝajojn tie antaŭ mardo la 19a de novembre je 23:59: https://commande-utile.mycomp.fr/	You can order food here before Tuesday 19th November 23:59: https://commande-utile.mycomp.fr/
La ville de Saint-Méloir-des-Ondes rend cette compétition possible en nous prêtant la salle !	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Di-Kêr Sant-Meleg a brest ar sal deomp!	La course-ci ét possibl grace ao prét de la sale par la vile de Saint-Melai !	La urbo Saint-Méloir-des-Ondes/Saint-Melai ebligas ĉi tiun konkurson disponigante la konkursejon!	The city of Saint-Méloir-des-Ondes/Saint-Melai makes this competition possible by providing the venue!
Cette compétition est soutenue et organisée par l'Association de Cube du Goëlo	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Gevredigezh Diñs Bro-Oueloù	La course-ci ét possibl grace a l'apouyâ de la Souéte de Qhube du Gouelo	La Gouela Kuba Asocio ebligas tiun konkurson	The Gouelo Cube Associtaion makes this competition possible
Le Saint-Méloir Breizh Open est sponsorisé par le site français Atoutcubes.com. Atoutcubes.com est un site spécialisé dans les speedcubes, avec livraison dans le monde entier. Atoutcubes est aussi une boutique physique située à Bayonne (64).	Skoazellet eo ar Sant-Meleg Breizh Open gant al lec'hienn c'hall Atoutcubes.com. Ul lec'hienn arbennikaet war an diñsoù speedcubing eo Atoutcubes.com, gant degasadennoù dre ar bed a-bezh. Atoutcubes a zo ivez ur stal fizikel lec'hiet e Baiona (Lapurdi, Euskal Herria).	L'empllâ françaez Atoutcubes.com ét le pârain du Saint-Melai Breizh Open. Atoutcubes.com ét un empllâ especializë den les qhubes de speedcubing, e i peût envayer tout le cai-la den tous les endrets du monde. Atoutcubes ét etout ene boutiqe fiziqe a Baiona (Lapurdi, Euskal Herria/Payiz Baxe).	La Saint-Méloir Breizh Open estas subtenata de la franca retejo Atoutcubes.com. Atoutcubes.com estas retejo specialigita pri speedcubes, kun livero tutmonde. Atoutcubes ankaŭ estas fizika vendejo situanta en Bajono (Lapurdi, Eŭskio).	The Saint-Méloir Breizh Open is sponsored by the French website Atoutcubes.com. Atoutcubes.com is a website specializing in speedcubes, with worldwide delivery. Atoutcubes is also a physical store located in Bayonne (64).
Les personnes sur la liste d’attente peuvent être acceptées jusqu’à la date limite indiquée dans les conditions d’inscription.	An dud hag a zo war ar roll gortoz a c'hall bezañ degemeret betek an deiziad merket er c'hondisionoù enskrivañ.	Les siens su la list d'espair peûvent étr prinz den la métr-list diq'ao jou marqë den les conditions d'enlistement.	Tiuj kiuj estas en la atendolisto povas esti akceptitaj ĝis la limdato indikita en la registriĝaj postuloj.	People on the waiting list can be accepted until the deadline indicated in the registration conditions.
Toute personne acceptée sur la liste principale depuis la liste d'attente après la date limite de remboursement ne pourra pas être remboursée si elle ne peut finalement pas se rendre à la compétition.	Ne vo ket posubl adtapout hoc'h arc'hant ma vez kadarnaet hoc'h enskrivadur goude deiz diwezhañ ar prantad dastaladur ma ne c'hellit ket mont d'ar genstrivadeg a-benn ar fin.	Vous ne sérez pouint remboursë si qe vous étes prinz den la métr-list aprés la date du bout des remboursements si qe vous pouéz pouint veni.	Ĉiu kiu estas akceptita sur la ĉefa listo el la atendolisto post la repaga limdato ne povos esti repagata se ili finfine ne povas veni al la konkurson.	Any competitor accepted on the main list from the waiting list after the deadline for reimbursement will not be refunded if they can not go to the competition.
Les inscriptions sur place ne seront acceptées que dans le cas suivant : au moins une place est disponible sur la liste des compétiteurs au moment de la fermeture des inscriptions.	Ne vo degemeret an enskrivadurioù war al lec'h nemet ma vez ur plas dieub da nebeutañ war roll ar genstriverien da goulz fin an enskrivadurioù.	Ela sera possibl de s'enlister su pllâce seulement si ao meins ene pllâce ét libr su la list des siens qi sont enlistës cant qe j'arivons a la date du bout des enlistements.	Surlokaj registriĝoj estos akceptitaj nur en la sekva kazo: almenaŭ unu loko disponeblas en la listo de konkursantoj je la momento de la fermiĝo de registriĝoj.	On the spot registrations will only be accepted if at least one spot is available on the list of competitors at the time registrations close.
